Time,Emotion,Confidence
13:19:46,neutral,99.75
13:19:46,neutral,99.66
13:19:46,neutral,98.77
13:19:46,neutral,99.33
13:19:47,neutral,99.02
13:19:47,neutral,99.53
13:19:47,neutral,99.34
13:19:47,neutral,99.6
13:19:47,neutral,98.7
13:19:47,neutral,97.62
13:19:47,neutral,96.94
13:19:47,neutral,96.07
13:19:47,neutral,94.64
13:19:48,neutral,99.11
13:19:48,neutral,97.15
13:19:48,neutral,97.36
13:19:48,neutral,87.49
13:19:48,neutral,94.66
13:19:48,neutral,94.91
13:19:48,neutral,99.13
13:19:48,neutral,90.52
13:19:48,neutral,95.22
13:19:48,neutral,98.06
13:19:49,neutral,96.47
13:19:49,neutral,77.39
13:19:49,neutral,95.56
13:19:49,neutral,97.18
13:19:49,neutral,96.81
13:19:49,neutral,85.38
13:19:49,neutral,94.59
13:19:49,neutral,97.52
13:19:49,neutral,93.0
13:19:50,neutral,95.69
